crop,state,season,soil_type,rainfall_mm,temperature_c,humidity_pct,fertilizer_kg_ha,area_hectares,yield_kg_per_ha
Sugarcane,Andhra Pradesh,Zaid,Sandy,1566.5,40.5,56.3,318.5,95.33,2640.9
Groundnut,Maharashtra,Rabi,Red,577.5,18.6,42.9,379.7,28.54,2625.0
Soybean,Uttar Pradesh,Zaid,Red,1579.8,35.9,92.5,125.7,38.51,3165.1
Soybean,Maharashtra,Zaid,Sandy,1986.0,22.2,63.2,320.0,9.62,3102.6
Groundnut,Haryana,Zaid,Alluvial,1194.1,40.2,77.7,57.1,11.67,2027.9
Soybean,Punjab,Kharif,Red,2235.6,34.4,56.7,284.8,72.81,2970.3
Maize,Uttar Pradesh,Kharif,Red,1727.1,35.4,53.1,214.2,94.46,2949.1
Sugarcane,Andhra Pradesh,Rabi,Laterite,2278.3,20.9,56.5,171.4,61.27,3159.9
Groundnut,Andhra Pradesh,Rabi,Sandy,1671.7,27.0,56.6,351.8,71.73,3989.7
Sugarcane,Haryana,Zaid,Black,588.8,31.7,65.4,349.0,76.32,3315.7
Rice,Haryana,Zaid,Alluvial,981.3,35.8,65.3,57.8,26.65,2263.0
Maize,Madhya Pradesh,Zaid,Alluvial,743.9,17.8,62.3,263.3,5.0,2836.5
Cotton,Uttar Pradesh,Rabi,Sandy,2299.4,41.0,38.8,178.7,0.69,2643.6
Maize,Maharashtra,Kharif,Laterite,1972.9,39.0,62.2,195.5,35.39,2863.1
Groundnut,Karnataka,Kharif,Laterite,1788.1,22.3,41.0,341.2,24.53,3288.2
Cotton,Andhra Pradesh,Zaid,Sandy,962.1,37.2,38.2,158.4,6.7,2273.0
Rice,Andhra Pradesh,Zaid,Laterite,704.9,29.0,90.6,380.1,18.36,3334.0
Groundnut,Haryana,Zaid,Alluvial,1964.2,27.5,69.3,112.9,12.89,3283.7
Wheat,Bihar,Zaid,Alluvial,1343.1,23.5,72.9,282.0,91.53,3374.6
Sugarcane,Haryana,Rabi,Black,796.7,30.7,56.1,285.2,14.46,3472.9
Rice,Karnataka,Kharif,Sandy,1656.6,34.7,89.1,138.3,54.0,3127.6
Sugarcane,Maharashtra,Zaid,Red,388.7,26.1,71.5,163.7,59.51,2219.4
Soybean,Maharashtra,Rabi,Red,1017.6,32.0,80.0,342.2,54.58,3475.4
Wheat,Bihar,Zaid,Black,1330.8,33.9,54.0,316.6,10.36,3022.8
Wheat,Andhra Pradesh,Zaid,Black,625.5,34.2,92.4,165.2,32.22,2555.0
Rice,Haryana,Kharif,Laterite,2466.2,16.4,83.3,236.9,5.6,2993.8
Wheat,Madhya Pradesh,Zaid,Black,760.0,38.2,85.5,71.6,39.87,2085.3
Cotton,Maharashtra,Kharif,Black,586.8,27.4,41.2,123.1,19.27,2388.9
Wheat,Karnataka,Kharif,Red,747.8,22.1,47.6,220.0,56.38,2857.8
Sugarcane,Uttar Pradesh,Kharif,Laterite,1991.9,21.5,48.6,80.1,69.43,2651.1
Sugarcane,Punjab,Rabi,Black,1236.1,28.0,47.6,345.2,53.45,3571.5
Groundnut,Punjab,Rabi,Black,1543.9,38.9,85.6,301.3,43.71,3476.1
Sugarcane,Punjab,Kharif,Laterite,346.2,25.2,32.1,380.3,39.04,2880.7
Groundnut,Madhya Pradesh,Zaid,Sandy,375.7,35.2,34.9,292.7,84.25,2667.7
Sugarcane,Andhra Pradesh,Kharif,Laterite,1280.8,17.6,47.8,379.1,22.33,2559.6
Cotton,Haryana,Zaid,Red,2096.6,27.9,43.0,244.1,73.55,3517.5
Groundnut,Bihar,Kharif,Sandy,2247.5,41.8,45.1,260.1,75.87,2864.1
Maize,Madhya Pradesh,Zaid,Alluvial,490.8,35.8,81.9,391.9,42.21,3261.5
Soybean,Madhya Pradesh,Rabi,Laterite,1484.4,20.7,66.6,274.7,30.08,3228.3
Rice,Maharashtra,Zaid,Red,2309.1,28.5,30.4,60.8,47.32,3343.1
Sugarcane,Uttar Pradesh,Kharif,Sandy,1153.5,21.3,57.9,303.3,9.77,3678.7
Wheat,Madhya Pradesh,Rabi,Laterite,2125.0,26.1,56.5,366.9,5.07,4260.4
Sugarcane,Karnataka,Zaid,Black,594.1,36.1,37.4,328.5,11.6,2741.5
Wheat,Uttar Pradesh,Zaid,Laterite,2357.9,35.8,73.9,254.3,19.12,3204.6
Soybean,Karnataka,Zaid,Alluvial,1953.1,21.2,75.6,285.0,50.67,3405.3
Soybean,Andhra Pradesh,Zaid,Laterite,2370.9,39.9,76.9,396.6,84.99,3272.9
Soybean,Haryana,Zaid,Sandy,1788.6,31.0,77.4,81.7,23.95,3197.1
Wheat,Punjab,Rabi,Sandy,1099.5,25.3,30.0,283.5,93.55,2964.8
Sugarcane,Madhya Pradesh,Rabi,Laterite,2364.0,28.6,92.0,149.2,95.51,3578.5
Soybean,Haryana,Rabi,Sandy,906.2,31.3,82.9,274.0,95.91,3408.3
Cotton,Andhra Pradesh,Rabi,Black,1030.8,30.1,88.8,262.7,83.84,3292.7
Groundnut,Bihar,Kharif,Laterite,1841.8,28.1,31.0,103.7,36.7,2899.7
Wheat,Bihar,Rabi,Black,1983.7,28.6,90.7,122.4,7.73,3604.4
Wheat,Andhra Pradesh,Zaid,Black,2344.7,19.8,82.6,267.6,57.1,3139.7
Sugarcane,Karnataka,Zaid,Red,750.6,36.9,84.4,94.9,56.09,2325.2
Wheat,Maharashtra,Rabi,Laterite,2055.6,29.6,36.1,142.8,85.07,3265.9
Wheat,Maharashtra,Zaid,Sandy,1924.8,18.5,78.0,342.3,99.6,3415.5
Soybean,Karnataka,Rabi,Black,440.3,35.7,92.4,164.5,51.06,2605.2
Sugarcane,Bihar,Zaid,Red,1151.9,40.2,74.1,220.8,34.85,2615.9
Soybean,Bihar,Kharif,Laterite,922.1,40.6,67.1,379.4,19.0,2720.6
Groundnut,Madhya Pradesh,Kharif,Laterite,969.9,25.0,91.5,129.5,0.98,2866.4
Groundnut,Bihar,Rabi,Alluvial,2462.5,18.7,58.8,186.4,51.16,3109.5
Soybean,Haryana,Rabi,Alluvial,1714.1,29.0,69.0,262.3,55.77,3420.9
Groundnut,Bihar,Rabi,Black,1878.9,18.0,61.0,314.4,82.58,3381.9
Sugarcane,Uttar Pradesh,Zaid,Alluvial,2448.6,40.2,90.6,365.6,50.71,3289.6
Rice,Madhya Pradesh,Rabi,Black,1129.8,20.0,34.9,370.4,91.69,3328.7
Soybean,Punjab,Kharif,Sandy,2064.0,21.8,62.6,321.8,62.99,3631.0
Cotton,Bihar,Zaid,Black,1256.0,26.0,74.7,129.9,84.11,2926.5
Cotton,Karnataka,Rabi,Alluvial,2213.0,25.3,81.5,58.7,15.26,3364.8
Wheat,Punjab,Zaid,Sandy,697.4,36.5,67.9,184.3,85.61,2440.5
Groundnut,Haryana,Zaid,Alluvial,2384.9,27.3,89.1,99.5,67.68,3595.4
Cotton,Karnataka,Rabi,Black,781.3,19.6,91.2,298.6,17.44,3023.4
Wheat,Punjab,Zaid,Red,1017.7,22.2,34.2,281.4,19.38,2926.5
Rice,Karnataka,Kharif,Laterite,1963.6,28.7,56.2,65.4,92.69,3220.3
Sugarcane,Haryana,Kharif,Alluvial,1166.3,19.0,31.5,342.8,3.71,3120.7
Sugarcane,Madhya Pradesh,Zaid,Black,1638.1,31.5,51.4,137.1,46.52,3321.9
Sugarcane,Uttar Pradesh,Rabi,Sandy,1278.1,30.3,64.9,201.3,31.69,3376.5
Cotton,Haryana,Zaid,Alluvial,1933.2,34.3,89.2,283.8,66.68,3650.3
Rice,Haryana,Kharif,Alluvial,802.3,40.3,85.0,200.3,84.04,2092.6
Cotton,Karnataka,Zaid,Laterite,428.6,39.6,38.3,204.5,36.36,2610.8
Groundnut,Madhya Pradesh,Zaid,Black,959.8,40.5,36.0,73.0,42.98,1607.0
Cotton,Andhra Pradesh,Kharif,Red,1343.5,21.6,68.3,190.5,98.2,3204.1
Rice,Maharashtra,Zaid,Sandy,669.6,18.6,64.6,317.7,78.5,2895.8
Rice,Bihar,Zaid,Black,1080.6,23.2,47.3,370.3,89.77,3148.1
Groundnut,Bihar,Rabi,Sandy,1180.0,39.2,88.5,194.7,44.16,2575.8
Rice,Uttar Pradesh,Rabi,Alluvial,426.3,41.2,90.3,198.3,23.79,2044.0
Rice,Uttar Pradesh,Kharif,Laterite,1583.3,38.2,56.2,295.9,41.48,3282.4
Sugarcane,Bihar,Kharif,Laterite,2245.6,18.0,87.9,380.0,71.75,3466.1
Groundnut,Maharashtra,Kharif,Red,633.8,40.6,55.0,143.5,11.39,1933.3
Maize,Bihar,Rabi,Laterite,1615.2,26.4,77.9,204.1,27.41,2910.3
Maize,Andhra Pradesh,Kharif,Alluvial,1762.4,15.3,60.9,328.6,5.14,3243.6
Rice,Maharashtra,Kharif,Red,1222.5,26.9,38.0,263.4,43.52,3041.7
Maize,Uttar Pradesh,Kharif,Black,1842.4,16.2,90.3,88.7,82.83,2604.0
Maize,Punjab,Rabi,Laterite,1203.6,29.7,59.5,269.7,2.95,3299.8
Rice,Karnataka,Zaid,Red,1410.2,24.1,77.7,115.4,67.69,2991.6
Maize,Andhra Pradesh,Kharif,Alluvial,316.2,27.8,53.9,228.6,93.28,3021.2
Cotton,Andhra Pradesh,Zaid,Sandy,1821.8,31.6,31.2,235.2,24.07,3681.4
Wheat,Madhya Pradesh,Kharif,Sandy,1755.0,38.5,36.5,356.7,69.52,3206.8
Groundnut,Uttar Pradesh,Zaid,Alluvial,384.5,32.9,62.3,211.9,97.52,2882.6
Wheat,Uttar Pradesh,Rabi,Alluvial,1110.2,26.7,74.8,147.8,96.25,3095.7
Rice,Haryana,Rabi,Sandy,2453.9,37.1,51.8,130.8,23.88,3251.1
Sugarcane,Andhra Pradesh,Kharif,Red,1225.6,39.5,75.2,356.0,10.48,2857.7
Groundnut,Haryana,Zaid,Sandy,1404.3,18.2,75.4,109.9,15.25,2800.7
Rice,Haryana,Rabi,Alluvial,2301.8,29.4,75.8,199.1,70.35,3858.5
Sugarcane,Karnataka,Kharif,Laterite,1878.0,22.7,62.0,115.5,72.71,3301.1
Wheat,Haryana,Kharif,Black,1580.6,16.3,89.5,320.7,67.59,2882.3
Rice,Maharashtra,Rabi,Laterite,2055.2,33.1,61.8,216.0,33.94,3386.3
Groundnut,Bihar,Rabi,Laterite,2201.6,38.3,59.3,172.9,17.39,3008.7
Groundnut,Punjab,Kharif,Alluvial,1305.2,19.4,43.0,176.4,58.29,2447.8
Soybean,Uttar Pradesh,Zaid,Sandy,1345.2,36.9,50.0,348.3,48.63,3478.6
Cotton,Maharashtra,Zaid,Red,1149.3,38.0,32.8,243.8,73.02,2660.9
Maize,Punjab,Zaid,Laterite,2426.8,39.7,71.2,301.3,44.42,3311.2
Sugarcane,Andhra Pradesh,Kharif,Sandy,1833.8,22.2,46.2,364.0,34.19,3496.1
Soybean,Andhra Pradesh,Rabi,Red,483.1,39.4,49.8,365.6,29.7,2340.6
Maize,Andhra Pradesh,Kharif,Laterite,2198.5,23.7,80.1,165.0,21.54,3317.1
Maize,Maharashtra,Rabi,Red,1357.2,29.9,51.3,383.4,26.94,3680.6
Rice,Maharashtra,Zaid,Sandy,451.3,16.4,45.7,58.7,9.94,1922.2
Maize,Uttar Pradesh,Zaid,Black,1509.4,16.2,41.0,181.9,35.01,2515.8
Cotton,Bihar,Rabi,Sandy,1217.8,34.5,80.4,363.5,4.14,3498.4
Groundnut,Madhya Pradesh,Rabi,Alluvial,2231.0,27.0,38.4,146.1,19.05,3300.6
Soybean,Haryana,Kharif,Red,748.8,21.9,59.5,145.6,74.8,2756.4
Maize,Andhra Pradesh,Zaid,Black,2118.2,20.1,63.0,155.9,32.88,3413.7
Rice,Karnataka,Kharif,Red,1526.9,33.1,74.7,264.3,66.99,3507.1
Cotton,Bihar,Kharif,Red,420.1,15.0,71.2,203.4,71.83,2208.4
Wheat,Karnataka,Kharif,Laterite,2438.1,36.8,82.7,304.4,58.33,3659.4
Groundnut,Uttar Pradesh,Zaid,Alluvial,1427.8,17.1,32.9,363.2,95.89,2687.5
Groundnut,Uttar Pradesh,Kharif,Red,939.9,20.2,49.3,286.0,2.63,2723.2
Soybean,Uttar Pradesh,Kharif,Sandy,1332.7,25.4,48.2,121.6,74.0,3039.5
Groundnut,Punjab,Kharif,Sandy,2187.3,28.1,39.5,376.4,95.9,3932.3
Maize,Karnataka,Kharif,Laterite,970.8,24.6,48.8,142.6,86.3,2920.8
Rice,Bihar,Kharif,Alluvial,723.9,23.7,50.1,102.5,17.21,2937.2
Groundnut,Madhya Pradesh,Kharif,Alluvial,584.0,41.0,63.9,81.5,33.02,1925.9
Groundnut,Bihar,Zaid,Sandy,955.3,32.3,73.1,247.2,17.66,3377.9
Wheat,Maharashtra,Kharif,Black,2016.1,15.6,54.8,89.8,60.33,2449.5
Wheat,Maharashtra,Rabi,Laterite,1337.6,26.6,76.8,98.6,71.36,2840.7
Sugarcane,Andhra Pradesh,Kharif,Laterite,800.5,38.6,51.9,155.0,32.05,2287.2
Cotton,Madhya Pradesh,Kharif,Sandy,665.6,23.1,48.9,148.6,54.18,2505.2
Maize,Maharashtra,Zaid,Sandy,1032.0,17.6,65.2,261.5,69.25,3028.0
Groundnut,Uttar Pradesh,Zaid,Black,2367.8,35.5,31.5,335.9,42.42,3760.0
Groundnut,Bihar,Rabi,Black,1054.7,31.4,35.2,316.5,85.47,3366.2
Rice,Karnataka,Rabi,Alluvial,2473.9,30.4,57.2,141.9,77.27,3734.2
Sugarcane,Uttar Pradesh,Zaid,Laterite,1367.5,16.4,91.3,135.9,6.93,2089.1
Cotton,Punjab,Zaid,Laterite,694.2,18.8,76.9,388.0,62.3,3172.3
Sugarcane,Maharashtra,Kharif,Sandy,2260.5,31.8,35.7,52.9,23.91,2808.9
Soybean,Uttar Pradesh,Zaid,Alluvial,1312.8,20.6,85.0,357.9,55.97,3400.5
Cotton,Uttar Pradesh,Rabi,Laterite,1861.3,28.6,77.6,119.9,95.71,3212.9
Groundnut,Punjab,Kharif,Alluvial,2464.2,29.7,69.7,381.5,87.97,4266.4
Groundnut,Haryana,Rabi,Alluvial,410.4,22.7,83.3,169.8,40.75,2741.4
Cotton,Bihar,Kharif,Sandy,512.7,40.6,56.3,204.1,29.51,2358.5
Groundnut,Karnataka,Zaid,Alluvial,1885.0,37.7,44.4,297.5,23.82,3035.6
Maize,Andhra Pradesh,Rabi,Black,920.0,34.5,63.3,255.7,53.49,3127.4
Cotton,Haryana,Kharif,Black,705.5,17.1,65.7,161.3,11.87,2321.4
Sugarcane,Maharashtra,Kharif,Red,386.6,17.9,65.0,243.8,55.15,2118.6
Cotton,Uttar Pradesh,Zaid,Sandy,348.1,28.3,66.7,305.7,0.63,2919.6
Groundnut,Madhya Pradesh,Zaid,Red,2003.9,19.3,91.7,64.8,32.72,2833.6
Maize,Punjab,Zaid,Black,595.8,41.4,88.6,53.9,22.38,1961.9
Maize,Punjab,Rabi,Red,1329.0,19.3,86.9,210.3,97.14,3030.7
Soybean,Madhya Pradesh,Kharif,Sandy,1633.0,28.2,82.1,96.1,72.86,2906.2
Sugarcane,Bihar,Zaid,Sandy,1242.4,24.8,91.3,282.5,35.29,3399.0
Wheat,Haryana,Rabi,Alluvial,359.6,32.3,36.4,124.9,9.74,2878.0
Wheat,Andhra Pradesh,Rabi,Laterite,2023.7,18.5,47.2,201.5,51.92,3024.4
Cotton,Bihar,Rabi,Alluvial,323.1,26.6,62.2,119.2,21.74,2538.7
Soybean,Madhya Pradesh,Zaid,Sandy,1976.2,22.4,85.0,242.0,53.87,3593.0
Rice,Uttar Pradesh,Zaid,Black,2265.3,39.0,62.8,90.6,83.62,2872.2
Cotton,Madhya Pradesh,Kharif,Black,1252.2,16.1,78.6,58.1,61.77,2082.2
Soybean,Bihar,Kharif,Alluvial,1478.2,39.7,39.0,67.9,63.56,2297.6
Sugarcane,Karnataka,Zaid,Sandy,1349.4,37.5,46.4,384.0,54.33,3122.8
Sugarcane,Punjab,Rabi,Black,1156.3,23.0,77.6,99.8,92.76,2965.3
Sugarcane,Punjab,Rabi,Sandy,2252.3,36.3,40.7,298.0,93.22,3456.6
Sugarcane,Maharashtra,Rabi,Black,2266.7,15.8,52.8,73.8,51.52,2607.0
Sugarcane,Maharashtra,Kharif,Sandy,1038.8,41.1,47.2,87.9,30.92,1766.2
Soybean,Madhya Pradesh,Rabi,Red,1653.2,29.2,52.7,228.1,46.23,3218.1
Soybean,Andhra Pradesh,Kharif,Sandy,2339.2,23.2,76.0,212.7,19.06,3768.9
Maize,Uttar Pradesh,Kharif,Sandy,2416.5,24.8,53.9,383.1,63.82,4018.6
Wheat,Karnataka,Rabi,Alluvial,1419.7,16.8,66.1,380.7,50.26,3146.9
Groundnut,Haryana,Rabi,Red,1296.2,41.7,36.5,322.9,10.78,2433.7
Sugarcane,Bihar,Zaid,Laterite,913.1,16.1,82.3,260.7,20.17,2731.1
Rice,Andhra Pradesh,Zaid,Alluvial,2409.5,32.7,54.0,209.2,48.22,3417.8
Groundnut,Uttar Pradesh,Rabi,Laterite,614.2,27.0,72.2,174.7,88.82,2866.2
Soybean,Maharashtra,Kharif,Black,1575.6,40.6,77.2,381.5,56.86,3176.2
Rice,Madhya Pradesh,Kharif,Laterite,921.6,21.6,43.6,261.0,68.31,3184.5
Rice,Bihar,Kharif,Sandy,913.8,29.4,87.5,252.7,34.23,3145.6
Rice,Maharashtra,Kharif,Laterite,1190.9,28.0,70.1,131.2,57.36,3406.4
Maize,Madhya Pradesh,Kharif,Alluvial,2497.3,34.0,57.9,66.3,45.01,3222.4
Soybean,Bihar,Zaid,Alluvial,420.9,16.8,41.9,380.8,66.08,2414.2
Rice,Haryana,Rabi,Laterite,1572.8,20.2,91.2,159.8,5.53,3074.5
Sugarcane,Uttar Pradesh,Zaid,Alluvial,481.7,20.8,79.1,204.9,49.58,2605.9
Cotton,Bihar,Kharif,Alluvial,639.9,34.9,43.5,90.1,29.95,2458.5
Rice,Karnataka,Kharif,Laterite,1267.0,20.1,52.0,342.9,32.96,3199.9
Maize,Andhra Pradesh,Kharif,Red,1423.0,30.5,82.6,59.7,96.11,2950.3
Groundnut,Punjab,Kharif,Red,869.3,20.8,75.2,341.9,18.68,2987.5
Soybean,Karnataka,Rabi,Black,996.2,38.3,79.8,99.1,31.47,2556.8
Maize,Karnataka,Kharif,Alluvial,491.3,40.4,58.7,360.3,51.23,2268.4
Rice,Andhra Pradesh,Rabi,Laterite,967.1,29.0,76.6,305.4,86.37,3153.4
Soybean,Punjab,Kharif,Alluvial,2426.4,24.5,55.1,107.6,41.96,3417.7
Cotton,Karnataka,Rabi,Sandy,2378.4,21.3,43.7,248.0,74.51,3800.1
Rice,Bihar,Zaid,Alluvial,1036.7,16.3,71.1,159.4,85.71,2276.8
Maize,Bihar,Kharif,Alluvial,1555.9,22.2,93.4,112.4,31.35,3158.5
Wheat,Bihar,Rabi,Red,2301.1,32.7,50.2,350.7,39.58,4053.7
Sugarcane,Punjab,Zaid,Laterite,313.6,29.4,60.0,191.2,35.98,2936.4
Groundnut,Karnataka,Kharif,Alluvial,2083.5,40.5,73.8,189.5,83.37,2686.4
Maize,Madhya Pradesh,Kharif,Red,2386.4,25.7,65.2,109.5,4.91,3179.1
Soybean,Punjab,Kharif,Black,500.9,33.7,84.8,184.1,31.19,2309.1
Rice,Bihar,Rabi,Red,655.2,28.2,79.5,355.1,68.1,3335.5
Sugarcane,Andhra Pradesh,Rabi,Red,2413.6,28.8,33.8,177.1,56.76,3741.7
Rice,Karnataka,Zaid,Red,1482.6,22.2,94.9,383.1,43.91,3444.1
Soybean,Karnataka,Rabi,Alluvial,331.2,27.3,78.9,381.2,54.22,3459.7
Rice,Maharashtra,Rabi,Alluvial,866.8,27.7,86.2,100.7,20.16,2666.5
Wheat,Maharashtra,Kharif,Black,1289.9,34.1,72.3,112.1,43.36,2849.5
Sugarcane,Haryana,Kharif,Sandy,1824.4,40.4,85.7,351.9,50.42,3239.7
Sugarcane,Madhya Pradesh,Kharif,Sandy,1913.0,23.9,37.3,187.5,90.17,3129.5
Soybean,Madhya Pradesh,Kharif,Sandy,2489.9,16.1,52.6,51.5,26.45,2613.3
Groundnut,Uttar Pradesh,Kharif,Black,932.5,28.4,87.0,145.9,86.85,2914.7
Wheat,Madhya Pradesh,Kharif,Sandy,1484.1,29.7,43.1,259.2,64.6,3497.5
Maize,Maharashtra,Kharif,Sandy,1473.3,19.5,35.1,329.7,2.52,3208.8
Rice,Punjab,Zaid,Red,1192.4,35.5,81.2,96.7,72.6,2690.0
Cotton,Madhya Pradesh,Zaid,Alluvial,672.2,41.6,84.3,88.7,4.04,2131.3
Rice,Maharashtra,Zaid,Alluvial,2450.4,40.5,40.6,372.7,99.74,3380.4
Rice,Haryana,Zaid,Red,2177.3,20.3,85.5,312.9,87.33,3476.9
Maize,Karnataka,Kharif,Red,1396.3,38.6,74.6,256.4,30.09,2840.8
Rice,Madhya Pradesh,Zaid,Red,1627.1,34.0,63.8,319.2,26.11,3443.8
Wheat,Haryana,Kharif,Alluvial,800.0,27.3,84.0,200.1,38.45,3085.4
Wheat,Karnataka,Zaid,Sandy,1496.3,29.6,57.3,315.5,35.94,4051.1
Sugarcane,Andhra Pradesh,Rabi,Red,1828.9,37.9,42.6,180.1,37.55,2890.0
Soybean,Andhra Pradesh,Zaid,Black,1433.4,28.0,48.5,135.4,32.17,2650.3
Groundnut,Karnataka,Zaid,Red,2478.6,25.1,62.8,305.2,62.3,3791.6
Cotton,Madhya Pradesh,Kharif,Laterite,1645.0,28.3,64.5,196.9,16.84,2956.8
Rice,Uttar Pradesh,Zaid,Red,1116.1,30.6,82.4,393.5,84.68,3576.5
Rice,Maharashtra,Rabi,Alluvial,1998.7,20.1,81.4,172.3,81.33,2765.5
Maize,Punjab,Kharif,Red,675.0,39.3,67.8,372.6,47.91,2589.3
Soybean,Punjab,Kharif,Laterite,1145.9,33.2,80.8,376.5,85.35,3202.5
Wheat,Bihar,Zaid,Black,1063.3,32.1,42.5,134.6,25.09,2882.2
Cotton,Karnataka,Kharif,Sandy,1250.0,17.7,33.3,329.4,2.25,2891.5
Sugarcane,Punjab,Kharif,Red,2019.9,31.3,86.8,201.6,62.11,3578.0
Wheat,Madhya Pradesh,Kharif,Laterite,1365.2,18.3,34.9,371.1,46.06,3084.0
Soybean,Uttar Pradesh,Kharif,Laterite,2046.8,17.1,46.0,207.5,56.93,2605.5
Groundnut,Karnataka,Kharif,Black,1568.3,29.2,75.2,310.5,89.98,3724.2
Sugarcane,Uttar Pradesh,Kharif,Alluvial,1052.6,25.9,56.6,213.4,97.01,3486.3
Groundnut,Madhya Pradesh,Rabi,Red,2082.0,30.9,87.0,129.7,63.63,3457.8
Maize,Punjab,Zaid,Laterite,824.2,17.4,49.4,119.8,76.52,2131.2
Maize,Punjab,Rabi,Black,793.6,26.6,30.8,198.9,8.84,2612.1
Rice,Bihar,Kharif,Sandy,1409.9,19.7,49.5,314.4,16.49,2974.2
Groundnut,Punjab,Kharif,Laterite,873.9,41.7,67.6,261.8,73.45,2365.5
Soybean,Karnataka,Zaid,Black,320.0,30.2,54.4,291.0,43.42,3210.3
Cotton,Madhya Pradesh,Rabi,Alluvial,1726.3,33.6,64.8,148.8,44.87,3154.4
Sugarcane,Andhra Pradesh,Zaid,Alluvial,1424.4,23.8,87.0,218.5,31.21,3448.2
Wheat,Madhya Pradesh,Rabi,Laterite,1280.1,17.6,89.3,65.5,60.93,2540.2
Soybean,Karnataka,Kharif,Laterite,2427.3,41.3,47.3,336.1,18.92,3163.5
Soybean,Karnataka,Zaid,Red,1556.6,22.7,60.0,396.5,62.88,3523.3
Maize,Bihar,Zaid,Black,2199.5,26.4,65.7,192.4,17.79,3580.6
Groundnut,Bihar,Kharif,Laterite,606.8,32.5,91.7,53.8,6.85,2379.4
Rice,Punjab,Zaid,Red,1552.3,15.7,94.9,109.4,33.37,2422.2
Rice,Haryana,Rabi,Red,2209.6,36.9,45.3,278.4,23.5,3387.9
